Sales Purchase Order Number,Quantities,Total
1080429,2000,2
1080736,1000,1
1079677,2000,2
1079960,1000,1
1079599,2000,2
1079906,1000,1
1080772,1000,1
1079951,2000,2
1080613,1000,1
1079686,2000,2
1080486,1000,1
1080673,1000,1
1079337,1000,1
1080748,1000,1
1080595,1000,1
1080610,1000,1
1080386,1020,3
1080625,1000,1
1081013,1010,2
1080628,1000,1
1079695,1000,1
1080568,1000,1
1080457,1000,1
1080782,1000,1
1080463,1000,1
1079858,1000,1
1079885,1000,1
1080778,1000,1
1079978,1000,1
1080133,1000,1
1080466,1000,1
1081014,1010,2
1079879,1000,1
1081011,0010,1
1080616,1000,1
1080563,1000,1
1079972,1000,1
1080727,1000,1
1080784,2000,2
1080604,1000,1
1080448,1000,1
1080622,1000,1
1079413,1000,1
1080661,1000,1
1080436,1000,1
1080766,1000,1
1080500,1000,1
1080718,1000,1
1079384,1000,1
1080712,1000,1
1080579,1000,1
1080637,1000,1
1080539,1000,1
1081040,1010,2
1080492,1000,1
1081042,1000,1
1080262,1010,2
1080497,1010,2
1080320,2010,3
1080064,1000,1
1080065,0010,1
1080846,0020,2
1080850,1010,2
1080069,1000,1
1080070,1000,1
1080769,1000,1
1080560,1000,1
1080475,1000,1
1080775,1000,1
1080795,1000,1
1080607,1000,1
1080676,2000,2
1080652,1000,1
1079918,1000,1
1079369,1000,1
1080396,1000,1
1080849,1010,2
1080619,3000,3
1080670,1000,1
1080679,1000,1
1080763,1000,1
1080478,1000,1
1080757,1000,1
1080700,1000,1
1080489,1000,1
1080797,1000,1
